epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,764.582,0.4724,0.60559,0.41814,0.86798,0,0.9345,0.87106,0.93649,0.80728,0.90169,0.91047,0.93805,0.73042,0.46243,0.72262,0.45368,0.86645,0,0.00092825,0.00092825,0.00092825
41,783.635,0.46701,0.59668,0.40858,0.87717,0,0.93859,0.88776,0.9368,0.80531,0.94412,0.89255,0.94416,0.73466,0.46509,0.65025,0.44472,0.87085,0,0.00092,0.00092,0.00092
42,802.262,0.47263,0.61977,0.41528,0.88528,0,0.89688,0.87998,0.92915,0.80554,0.90931,0.89089,0.93943,0.73963,0.46226,0.6446,0.45245,0.86929,0,0.00091175,0.00091175,0.00091175
43,820.906,0.48221,0.64289,0.42741,0.88807,0,0.94476,0.85821,0.92785,0.80962,0.92978,0.8797,0.9286,0.7428,0.47753,0.68595,0.46193,0.8658,0,0.0009035,0.0009035,0.0009035
44,839.911,0.4818,0.61118,0.42566,0.87313,0,0.94478,0.87396,0.9346,0.80789,0.90562,0.90866,0.9321,0.74258,0.47564,0.64744,0.4573,0.87033,0,0.00089525,0.00089525,0.00089525
45,858.65,0.48139,0.60884,0.41289,0.87751,0,0.87497,0.9161,0.92397,0.79529,0.86409,0.90491,0.92083,0.72372,0.46962,0.62788,0.4658,0.87245,0,0.000887,0.000887,0.000887
46,877.276,0.48812,0.6329,0.41574,0.8775,0,0.91555,0.8825,0.93284,0.80144,0.91354,0.86411,0.93643,0.72363,0.4729,0.64345,0.45339,0.87566,0,0.00087875,0.00087875,0.00087875
47,896.084,0.48187,0.60996,0.42499,0.87602,0,0.92382,0.87496,0.93528,0.8061,0.91514,0.89439,0.9441,0.73714,0.45963,0.63518,0.47051,0.85932,0,0.0008705,0.0008705,0.0008705
48,914.648,0.482,0.59313,0.41768,0.88219,0,0.93424,0.88246,0.93875,0.81903,0.93695,0.88996,0.94377,0.75162,0.45359,0.62241,0.45999,0.8637,0,0.00086225,0.00086225,0.00086225
49,933.395,0.48679,0.61682,0.43254,0.8823,0,0.89776,0.88786,0.93823,0.82257,0.88832,0.87813,0.93301,0.74622,0.44187,0.63801,0.44117,0.85425,0,0.000854,0.000854,0.000854
